idx,title,authors,source,year,scopusUrl
43,Global Attention and Market Resilience: Evidence from the Gaza Conflict and Israeli Financial Assets,"Papanikolaou N., Vasileiou E., Pantos T.","Economies, 14(2), 61",2026,https://scopus.unalproxy.elogim.com/pages/publications/105031385971?origin=resultslist
44,Seismic Exposure Modelling of the Romanian Residential Building Stock for (Re)Insurance Applications,"Gheorghe B., Vacareanu R.","Buildings, 16(4), 728",2026,https://scopus.unalproxy.elogim.com/pages/publications/105031422448?origin=resultslist
45,Exploring the role of simulated learning on portfolio management: enhancing investment decisions by addressing behavioural biases,"Kushwah R., Sahoo K.K., Jaldhari S.",Navigating Digital Disruption Strategies for Sustainable Business Management,2026,https://scopus.unalproxy.elogim.com/pages/publications/105026327372?origin=resultslist
46,Role of artificial intelligence (AI) in strengthening impact of behavioral factors on investment decision process of IT/ITES employee towards behavioral finance,"Kavya J., Kotteeswaran M.","Aip Conference Proceedings, 3345(1), 020183",2026,https://scopus.unalproxy.elogim.com/pages/publications/105028329100?origin=resultslist
47,Role of artificial intelligence in understanding psychological influences on investment decisions: A behavioral finance study among IT/ITES employees,"Kavya J., Kotteeswaran M.","Aip Conference Proceedings, 3345(1), 020184",2026,https://scopus.unalproxy.elogim.com/pages/publications/105028250535?origin=resultslist
48,AI-Based Fintech Recommendation System for Personalized Mutual Fund Investments,"Sharma M., Anwar M., Sharma M.",Proceedings of 8th International Conference on Intelligent Sustainable Systems Iciss 2026,2026,https://scopus.unalproxy.elogim.com/pages/publications/105037001876?origin=resultslist
49,An AI-Driven Financial Advisory System with Dynamic Risk Profiling,"Sumeer H., Aparna, Rishitha T.R., ... Nagaraja S.R., Kannadaguli P.",Ccic 2026 Contemporary Computing Innovations Conference 2026,2026,https://scopus.unalproxy.elogim.com/pages/publications/105038714822?origin=resultslist
50,Transformer-Based Time Series Forecasting for Credit Limit Utilization and Risk Profiling in Retail Lending,"Danchuk V., Linskyi O.","Applied Artificial Intelligence, 40(1), 2676392",2026,https://scopus.unalproxy.elogim.com/pages/publications/105041016228?origin=resultslist
51,The role of behavioral biases in shaping investment decisions: an empirical analysis of the Indian investors,"Dubey A., Chandra S., Yadav S., Selvadass M.",Organizational Resilience and Leadership Issues in the Dynamic Era,2026,https://scopus.unalproxy.elogim.com/pages/publications/105033306780?origin=resultslist
52,"Investors’ Emotional Intelligence, Personality Traits, and Risk Tolerance: A Measure of Investment Decisions","Raheja S., Syan A.S.",Sustainable Practices in Finance Economics and Technology,2026,https://scopus.unalproxy.elogim.com/pages/publications/105044993441?origin=resultslist
53,Integrating AI and OR for investment decision-making in emerging digital lending businesses: a risk-return multi-objective optimization approach,"Torkian V., Bamdad S., Sarfaraz A.H.","Journal of the Operational Research Society, 77(3)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105004362411?origin=resultslist
54,Emotional Biases and Their Impact on Investment Decisions: A Behavioral Finance Perspective,"Gupta M., Jindal P.",Behavioral Finance Strategies for Informed Decision Making,2026,https://scopus.unalproxy.elogim.com/pages/publications/105035816784?origin=resultslist
55,Machine Learning Modelling of Digitalization in Gen Z Decisions: Financial Literacy and Risk Tolerance,"Vandana, Garima, Singh S.",International Conference on Innovative Practices in Technology and Management Iciptm 2026,2026,https://scopus.unalproxy.elogim.com/pages/publications/105037839794?origin=resultslist
56,Behavioral Financial Engineering: A Data-Driven Application of Cumulative Prospect Theory to Property Sector Portfolio Optimization,"Reynoso E.D.V., Young M.N., Agapito B.B.",International Conference on Artificial Intelligence Computer Data Sciences and Applications Acdsa 2026,2026,https://scopus.unalproxy.elogim.com/pages/publications/105037585451?origin=resultslist
57,Behavioral Biases in Financial Markets: Understanding the Impact of Cognitive Heuristic-Driven Biases and Emotional Biases in Shaping Investment Decisions,"Kalappa B., Upadhyay D.",Behavioral Finance Strategies for Informed Decision Making,2026,https://scopus.unalproxy.elogim.com/pages/publications/105035819597?origin=resultslist
58,The brain behind the portfolio: the neurological foundations of investment decisions,"Khan A., Fatima H., Shah S.A.A.",Journal of Islamic Marketing,2026,https://scopus.unalproxy.elogim.com/pages/publications/105042496921?origin=resultslist
59,Robo-Advisors in Investment Decision-Making: An Empirical Investigation of Behavioral Biases,"Patil K.P., Pramod D., Kulkarni M.S.","Lecture Notes in Networks and Systems, 1612 LNNS",2026,https://scopus.unalproxy.elogim.com/pages/publications/105028296127?origin=resultslist
60,Antecedents of investment decisions among retail investors: Mediating risk perception and moderating investment horizon,"Chairit S., Sirichote O., Noknoi C.","Investment Management and Financial Innovations, 23(2)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105040925566?origin=resultslist
