idx,title,authors,source,year,scopusUrl
226,A Critical Review of Overconfidence in Investment Decisions: Bibliometric Analysis,"Ojha S., Agarwala A.K.","International Journal of Economics and Financial Issues, 14(6)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85208702919?origin=resultslist
227,Sensory perceptions and financial choices: A neuroscientific perspective,"Jamwal D., Arora M.",Impact of Sensory Marketing on Buying Behavior,2024,https://scopus.unalproxy.elogim.com/pages/publications/105000128107?origin=resultslist
228,Correlating investor patterns and ESG performance with neuro marketing insights: Behavioural finance meets sustainability,"Bhatnagar M., Rajaram R.",Neuromarketing S Role in Sustainable Finance,2024,https://scopus.unalproxy.elogim.com/pages/publications/86000230571?origin=resultslist
229,Behavioural Biases Affecting Financial Risk Tolerance of Working Women Investors: Evidence from the Indian Stock Market,"Srivastava H., Moid S., Rushdi N.J.","Scms Journal of Indian Management, 21(4)",2024,https://scopus.unalproxy.elogim.com/pages/publications/105017329336?origin=resultslist
230,Does Risk Tolerance Mediates the Relationship Between Financial Literacy and Financial Wellbeing During COVID-19: Empirical Evidence From an Emerging Economy,"Naveed M., Ali S.","Sage Open, 14(4)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85212259477?origin=resultslist
231,Investing in our planet: Examining retail investors' preference for green bond investment,"Azad S., Tulasi Devi S.L., Mishra A.K.","Business Strategy and the Environment, 33(6)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85189154070?origin=resultslist
232,An empirical analysis of navigation behaviors across stock and cryptocurrency trading platforms: implications for targeting and segmentation strategies,Kim H.,"Electronic Commerce Research, 24(3)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85139195986?origin=resultslist
233,An uncertainty theory based tri-objective behavioral portfolio selection model with loss aversion and reference level using a modified evolutionary root system growth algorithm,"Chen Y., Li B.","Journal of Computational and Applied Mathematics, 446, 115859",2024,https://scopus.unalproxy.elogim.com/pages/publications/85186763633?origin=resultslist
234,Framing effect and disposition effect: investment decisions tools to understand bounded rationality,"Kiky A., Atahau A.D.R., Mahastanti L.A., Supatmi S.","Review of Behavioral Finance, 16(5)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85192228542?origin=resultslist
235,Safe haven properties of industrial stocks against ESG in the United States: Portfolio implication for sustainable investments,"Imran Z.A., Ahad M., Shahzad K., Ahmad M., Hameed I.","Energy Economics, 136, 107712",2024,https://scopus.unalproxy.elogim.com/pages/publications/85196000887?origin=resultslist
236,A century of asset allocation crash risk,"Samonov M., Sorokina N.","Journal of Asset Management, 25(4)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85189500780?origin=resultslist
237,Impact of Competent Persons’ judgements in Mineral Resources classification,"Owusu S.K.A., Dagdelen K.","Journal of the Southern African Institute of Mining and Metallurgy, 124(7)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85200868479?origin=resultslist
238,Measuring behavioral biases in individual investors decision-making and sociodemographic correlations: a systematic review,"de Oliveira Cardoso N., Zorgi Salvador E., Broch G., ... Yoshinaga C.E., de Lara Machado W.","Qualitative Research in Financial Markets, 16(4)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85176954432?origin=resultslist
239,Sovereign climate bonds: Policy innovation for just transitions in developing countries,"Chavarria-Flores A., Warren P.","Journal of Climate Finance, 7, 100041",2024,https://scopus.unalproxy.elogim.com/pages/publications/85209568771?origin=resultslist
240,"“All are investing in Crypto, I fear of being missed out”: examining the influence of herding, loss aversion, and overconfidence in the cryptocurrency market with the mediating effect of FOMO","Kaur M., Jain J., Sood K.","Quality and Quantity, 58(3)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85171979932?origin=resultslist
241,Comparative analysis of QUEST and CHAID decision tree methods in assessing the performance of conventional commercial banks,"Saragih W.N.M., Zahedi, Nusantara B.C.","Songklanakarin Journal of Science and Technology, 46(3)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85202552380?origin=resultslist
242,Finance and intelligence: An overview of the literature,"Eber N., Roger P., Roger T.","Journal of Economic Surveys, 38(2)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85167734732?origin=resultslist
243,Do heuristics affect Brazilian investors’ decision-making process?,"Souza V.V., Souza L.L.F., Oliveira O., Souza E.M., Costa J.S.","Review of Behavioral Finance, 16(2)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85164453946?origin=resultslist
244,Robo Advising and Investor Profiling,"Gaspar R.M., Oliveira M.","Fintech, 3(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85200700870?origin=resultslist
245,Behavioral Finance Biases: A Comprehensive Review on Regret Approach Studies in Portfolio Optimization,"Fooeik A.M.L., Ghanbari H., Sadjadi S.J., Mohammadi E.","International Journal of Industrial Engineering and Production Research, 35(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85192805159?origin=resultslist
246,Unpacking the drivers of earnings management in CSR firms: influence of investor risk perception,Bansal M.,"International Journal of Disclosure and Governance, 21(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85174180957?origin=resultslist
247,Multitrend Conditional Value at Risk for Portfolio Optimization,"Lai Z.-R., Li C., Wu X., Guan Q., Fang L.","IEEE Transactions on Neural Networks and Learning Systems, 35(2)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85133814481?origin=resultslist
248,A Multi-Kink quantile regression model with common structure for panel data analysis,"Sun Y., Wan C., Zhang W., Zhong W.","Journal of Econometrics, 239(2), 105304",2024,https://scopus.unalproxy.elogim.com/pages/publications/85133190489?origin=resultslist
249,Clustering Sukuk Using the K-Means Algorithm for Allocation of Investors Based on Investment Risk Profile,"Novika F., Rahayu S.","E3s Web of Conferences, 483, 03002",2024,https://scopus.unalproxy.elogim.com/pages/publications/85185376458?origin=resultslist
250,Construction of Investor Profiles Based on Risk Tolerance Prediction,"Zhang B., Zhou Y., Yu S., Zhang K.",ACM International Conference Proceeding Series,2024,https://scopus.unalproxy.elogim.com/pages/publications/85200396857?origin=resultslist
251,"Demystifying disposition effect: past, present and future","Joshipura M., Joshipura N., Sharma A.","Qualitative Research in Financial Markets, 16(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85148577591?origin=resultslist
252,Method for Determining the Risk Profile of Investors based on the Relationship of two stock investing Problems,"Gorelik V.A., Zolotova T.V.","Finance Theory and Practice, 28(4)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85204399887?origin=resultslist
253,Demystifying Robo-Advisors: Benefits and Limitations,Scholz P.,Emerald Handbook of Fintech Reshaping Finance,2024,https://scopus.unalproxy.elogim.com/pages/publications/85208319131?origin=resultslist
254,Enhancing Investment Decision-making: Leveraging Smart Machine Learning Models for Risk Profiling and Portfolio Allocation,Kanaparthi V.,2024 15th International Conference on Computing Communication and Networking Technologies Icccnt 2024,2024,https://scopus.unalproxy.elogim.com/pages/publications/85211164644?origin=resultslist
255,Additive Determination of an Investor’s Risk Tolerance in Asset Allocation,"Patel S., diBartolomeo D.","Journal of Investing, 33(5)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85200540488?origin=resultslist
256,Multinational corporations' capital allocation decisions across asymmetric risk locations: intertemporal equilibrium and optimal transitional adjustment paths,"Fedderke J.W., Luiz J.M., Barnard H.","IMA Journal of Management Mathematics, 35(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85180012057?origin=resultslist
257,SEISMIC RISK PROFILE DEFINITION FOR VULNERABLE HOUSING STOCK IN COLOMBIA,"Acevedo A.B., Carrascal S., Gonzalez D.","World Conference on Earthquake Engineering Proceedings, 2024",2024,https://scopus.unalproxy.elogim.com/pages/publications/105027855696?origin=resultslist
258,The Influence of COVID-19 and Subsequent Events on the Decision-Making of Retail Investors in Kingdom of Bahrain: A Behavioral Finance Analysis,"Babu M.R., Taqi M.","Studies in Systems Decision and Control, 524",2024,https://scopus.unalproxy.elogim.com/pages/publications/85196188034?origin=resultslist
259,Biases in Capital Market Instrument Investing Decisions: A Study from India,"Agarwal S., Singh S.","Australasian Accounting Business and Finance Journal, 18(3)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85194469022?origin=resultslist
260,"Impact of gender, age, and education on investors’ behavior: An empirical study of Delhi-NCR","Bushra B., Srivastav S., Kapoor S.",International Journal of System Assurance Engineering and Management,2024,https://scopus.unalproxy.elogim.com/pages/publications/85205573267?origin=resultslist
261,BEHAVIOURAL FINANCE AND THE HOUSING MARKET,"Bao H., Lizieri C.",Routledge Handbook of Housing Economics,2024,https://scopus.unalproxy.elogim.com/pages/publications/85190931936?origin=resultslist
262,Psychological biases and contextual factors as the determinants of financial satisfaction: an evidence-based study on individual investment decisions,"Shukla K., Kumar V.","Global Business and Economics Review, 31(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85197610370?origin=resultslist
263,Hidden Consequences of Consumer Protection on the Financial Market: Regulation-introduced Bias,"Sindelar J., Budinsky P.","Prague Economic Papers, 33(3)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85198101060?origin=resultslist
264,"PERSONALITY, FINANCIAL LITERACY, AND FINANCIAL ADVICE-SEEKING IN THE MIDST OF A PANDEMIC","Phan T.C., Ngo V.M., Le L.V., Ahmed R.","International Journal of Economics and Finance Studies, 16(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/105002180447?origin=resultslist
265,Behavioral Finance in Psycho-Social Approaches: A Literature Review,"Nia V.M., Siregar H., Sembel R., Zulbainarmi N.","Lecture Notes in Networks and Systems, 924 LNNS",2024,https://scopus.unalproxy.elogim.com/pages/publications/85189500948?origin=resultslist
266,The Influence of Emotions and Social Value Orientation on Risk Tolerance and Sustainable Investment Choices,"Verma S., Khanna A.","Australasian Accounting Business and Finance Journal, 18(3)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85194476278?origin=resultslist
267,Behavioral finance impacts on US stock market volatility: An analysis of market anomalies,"Akin I., Akin M.",Behavioural Public Policy,2024,https://scopus.unalproxy.elogim.com/pages/publications/85187940745?origin=resultslist
268,Robo Advisors Revolution: Transforming Landscape of Mutual Fund Investments,"Saroha J., Rawal A., Gopalkrishnan S., ... Thathira K.V., Kulkarni P.",2024 International Conference on Sustainable Islamic Business and Finance Sibf 2024,2024,https://scopus.unalproxy.elogim.com/pages/publications/86000194604?origin=resultslist
269,"Evaluating robo-advisors through behavioral finance: a critical review of technology potential, rationality, and investor expectations","Eichler K.S., Schwab E.","Frontiers in Behavioral Economics, 3, 1489159",2024,https://scopus.unalproxy.elogim.com/pages/publications/105012406649?origin=resultslist
270,Conceptual Framework: Understanding the Influence of Monetary and Fiscal Policies on Investor Behavior in China’s Renewable Energy Sector,"Xin L., Loang O.K.","Studies in Systems Decision and Control, 223",2024,https://scopus.unalproxy.elogim.com/pages/publications/85189500597?origin=resultslist
271,The Impact of Media News on Investors' Decision-Making According to their Degree of Risk-Taking,"Sharifi E., Kahrizsangi K.E., Chadegani A.A.","Iranian Journal of Accounting Auditing and Finance, 8(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/105030482741?origin=resultslist
272,Analysis of factors affecting investors’ decision towards cryptocurrency investments in Saudia Arabia: A moderating role of fear of missing out (FOMO) on decision-making,"Hasan A., Alam S., Habib S., Khan M.A.","Journal of Infrastructure Policy and Development, 8(9), 6419",2024,https://scopus.unalproxy.elogim.com/pages/publications/85205023878?origin=resultslist
273,Effect of sectoral holdings on the flow-performance sensitivity of mutual funds,"Covachev S., Yadav V.","North American Journal of Economics and Finance, 69, 102014",2024,https://scopus.unalproxy.elogim.com/pages/publications/85171450301?origin=resultslist
274,BUILDING FOOTPRINT ANALYSIS FOR SEISMIC VULNERABILITY & LARGE SCALE HIGH-RESOLUTION RISK ASSESSMENTS,"Momin S., Salgado-Galvez M.A., Basaraner M., Grajales S., Carreno M.L.","World Conference on Earthquake Engineering Proceedings, 2024",2024,https://scopus.unalproxy.elogim.com/pages/publications/105027854001?origin=resultslist
275,SURROGATE MODEL FOR FRAGILITY ASSESSMENT OF RETROFITTED UNREINFORCED MASONRY BUILDINGS,"Fathiazar A., Alfano S., Cattari S.","World Conference on Earthquake Engineering Proceedings, 2024",2024,https://scopus.unalproxy.elogim.com/pages/publications/105027900128?origin=resultslist
276,The future of finance: Artificial intelligence's influence on behavioral investment decisions,"Rao A., Hossain M.R.",Leveraging AI and Emotional Intelligence in Contemporary Business Organizations,2023,https://scopus.unalproxy.elogim.com/pages/publications/85183802013?origin=resultslist
277,Shariah-compliant robo-advisors: Exploring the development and implementation of islamic finance's automated investment solutions,"Hooda J., Singh V., Kazaure M.A., Singh R.",Fintech Applications in Islamic Finance AI Machine Learning and Blockchain Techniques,2023,https://scopus.unalproxy.elogim.com/pages/publications/85182096477?origin=resultslist
278,Stock profiling using time–frequency-varying systematic risk measure,Mestre R.,"Financial Innovation, 9(1), 52",2023,https://scopus.unalproxy.elogim.com/pages/publications/85148473940?origin=resultslist
279,Loss Aversion Robust Optimization Model Under Distribution and Mean Return Ambiguity,"Wang J., Zhou M., Guo X., Qi L., Wang X.","IEEE Transactions on Computational Social Systems, 10(6)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85136640633?origin=resultslist
280,Relative Growth Rate Optimization Under Behavioral Criterion,"Peng J., Wei P., Xu Z.Q.","SIAM Journal on Financial Mathematics, 14(4)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85179353915?origin=resultslist
281,Forecasting sovereign risk perception of Brazilian bonds: an evaluation of machine learning prediction accuracy,"de Oliveira D.S.P., Montes G.C.","International Journal of Emerging Markets, 18(10)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85117298981?origin=resultslist
282,Do investment fund managers behave rationally in the light of central bank communication? Survey evidence from Poland,"Wolski R., Bolek M., Gajdka J., Brzeszczynski J., Kutan A.M.","Qualitative Research in Financial Markets, 15(5)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85147515736?origin=resultslist
283,Optimal investment problem under behavioral setting: A Lagrange duality perspective,"Bi X., Cui Z., Fan J., Yuan L., Zhang S.","Journal of Economic Dynamics and Control, 156, 104751",2023,https://scopus.unalproxy.elogim.com/pages/publications/85173245020?origin=resultslist
284,Market Efficiency and Stock Investment Loss Aversion Guide During COVID-19 Pandemic Events: The Case for Applying Data Mining,"Chen Y.-C., Liu Y.-S.","Sage Open, 13(4)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85180167786?origin=resultslist
285,Improving risk classification and ratemaking using mixture-of-experts models with random effects,"Tseung S.C., Chan I.W., Fung T.C., Badescu A.L., Lin X.S.","Journal of Risk and Insurance, 90(3)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85162174869?origin=resultslist
286,Biased risk perceptions: Evidence from the laboratory and financial markets,"Payzan-LeNestour E., Pradier L., Putnins T.J.","Journal of Banking and Finance, 154, 106685",2023,https://scopus.unalproxy.elogim.com/pages/publications/85167417988?origin=resultslist
287,Driving Millennials To Be Investors: The Case Of Investment Decision Performance In Indonesian Capital Market,"Darmayanti N.P.A., Wiagustini N.L.P., Artini L.G.S., Candraningrat I.R.","Quality Access to Success, 24(196)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85167564043?origin=resultslist
288,A K-Means Classification and Entropy Pooling Portfolio Strategy for Small and Large Capitalization Cryptocurrencies,"Mba J.C., Angaman E.S.E.F.","Entropy, 25(8), 1208",2023,https://scopus.unalproxy.elogim.com/pages/publications/85168859953?origin=resultslist
289,Influence of bull and bear market phase on financial risk tolerance of urban individual investors in an emerging economy,"Arora N., Mishra B.K.","Review of Behavioral Finance, 15(4)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85125888961?origin=resultslist
290,Behavioral biases of investors in the cryptocurrency market,"Gautam S., Kumar P.","Aip Conference Proceedings, 2782, 020105",2023,https://scopus.unalproxy.elogim.com/pages/publications/85166565719?origin=resultslist
291,"11th International Seminar on New Paradigm and Innovation on Natural Sciences and Its Application, ISNPINSA 2021: Developing Science and Technology Toward the New Normal Era",[No Authors Found],"Aip Conference Proceedings, 2738",2023,https://scopus.unalproxy.elogim.com/pages/publications/85163298311?origin=resultslist
292,A data-driven approach to estimating post-discovery parameters of unexplored oilfields,"Pratikto F., Indratno S., Suryadi K., Santoso D.","Petroleum, 9(2)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85141285513?origin=resultslist
293,Modeling damage accumulation during ground-motion sequences for portfolio seismic loss assessments,"Iacoletti S., Cremen G., Galasso C.","Soil Dynamics and Earthquake Engineering, 168, 107821",2023,https://scopus.unalproxy.elogim.com/pages/publications/85148062181?origin=resultslist
294,Examining the Effect of Fear on Investment Decisions and Interpreting It with Psychological Factors: A Research on Türkiye | Korkunun Yatırım Kararları Üzerindeki Etkisinin İncelenmesi ve Psikolojik Faktörler ile Yorumlanması: Türkiye Üzerine Bir Araştırma,"Ugur A., Tosun N.","Sosyoekonomi, 31(56)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85193954365?origin=resultslist
295,What compliance commitments tell us about U.S. banks?,Semenenko I.,"Journal of Corporate Accounting and Finance, 34(2)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85141410580?origin=resultslist
296,Selection of Retirement Saving Plan for a Private-sector Employee in Pakistan,"Naqvi B., Rizvi S.K.A., Shahzad A.","Asian Journal of Management Cases, 20(1)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85090551386?origin=resultslist
297,Impact of Availability and Loss Aversion Bias on Investment Decision Making of Individual Investors in Tamil Nadu,"Bhuvaneswari C., Vanitha S., Jisham M., John A.","Finance India, 37(1)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85154050338?origin=resultslist
298,Exploring the Gaussian investor sentiment process,Coskun S.S.,"Borsa Istanbul Review, 23(2)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85143159729?origin=resultslist
299,Needs for Portfolio Risk Assessment of Aging Dams in the United States,"Larrauri P.C., Lall U., Hariri-Ardebili M.A.","Journal of Water Resources Planning and Management, 149(3), 04022083",2023,https://scopus.unalproxy.elogim.com/pages/publications/105002153599?origin=resultslist
300,Risk Factor Disclosures in the US Airline Industry Following the COVID-19 Pandemic,"Penela D., Palma M.","Risks, 11(2), 34",2023,https://scopus.unalproxy.elogim.com/pages/publications/85148768071?origin=resultslist
301,Sustainable development of the green bond markets in India: Challenges and strategies,"Bansal S., Mani S.P., Gupta H., Maurya S.","Sustainable Development, 31(1)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85135864781?origin=resultslist
302,Effects of Investment Experience on the Stock Investment Task: The Mediating Role of Risk Perception,"Li Z., Wu Q., Hong P., Tian R.","Behavioral Sciences, 13(2), 115",2023,https://scopus.unalproxy.elogim.com/pages/publications/85148857612?origin=resultslist
303,Risk Preference Elicitation and Financial Advice Taking,Streich D.J.,"Journal of Behavioral Finance, 24(3)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85114647672?origin=resultslist
304,CLASSIFICATION OF REAL ESTATE INVESTMENT AREAS UNDER THE CRITERIA OF THE RISK-RETURN RATIO AND THE INVESTOR'S RISK PROFILE | CLASIFICACIÓN DE ZONAS DE INVERSIÓN INMOBILIARIA BAJO EL CRITERIO DE LA RELACIÓN RENTABILIDAD-RIESGO Y EL PERFIL DEL RIESGO DEL INVERSOR,"Fernandez-Valderrama P., Mendez Alonso J.J., Perez Garcia J.",Proceedings from the International Congress on Project Management and Engineering,2023,https://scopus.unalproxy.elogim.com/pages/publications/85179169112?origin=resultslist
305,"China’s Circular Economy Toward Environmental, Social, and Governance","Poon W.C., Lim C.S.",Contemporary Strategic Chinese American Business Negotiations and Market Entry,2023,https://scopus.unalproxy.elogim.com/pages/publications/85160472729?origin=resultslist
306,Perception on Investing in Stocks with ESG Relevance: A Descriptive View on Influence of Key Demographic Variables and Risk Profiling of Investors,"Satish R., Saravanan S., Ramachandran N.V.","Eai Endorsed Transactions on Energy Web, 10",2023,https://scopus.unalproxy.elogim.com/pages/publications/85178142894?origin=resultslist
307,Behavioral finance factors and investment decisions: A mediating role of risk perception,"Almansour B.Y., Elkrghli S., Almansour A.Y.","Cogent Economics and Finance, 11(2), 2239032",2023,https://scopus.unalproxy.elogim.com/pages/publications/85165993021?origin=resultslist
308,The Behavioural Pattern of Investment in the Financial Market: A Study of the Individual Investors,"Dar B.I., Kumar J.",Global Business Review,2023,https://scopus.unalproxy.elogim.com/pages/publications/85172126713?origin=resultslist
309,Does Cognitive Bias and Risk Perception Impact Investment Decision? Women Investors’ Perspective,"Pushpa A., Singh J.K., Ramirez-Asis N., ... Fernandez-Celestino W., Acosta-Ponce W.","Studies in Computational Intelligence, 1113",2023,https://scopus.unalproxy.elogim.com/pages/publications/85177209198?origin=resultslist
310,The Factors Influencing Investor’s Decision towards Invest in Equity Shares in Tumkur District,"Naveen Kumar T.S., Gowd M.S., Amith D.","14th International Conference on Advances in Computing Control and Telecommunication Technologies Act 2023, 2023-June",2023,https://scopus.unalproxy.elogim.com/pages/publications/85174241400?origin=resultslist
311,Behavioral biases affecting investment decisions of capital market investors in Bangladesh: A behavioral finance approach,"Yasmin F., Ferdaous J.","Investment Management and Financial Innovations, 20(2)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85159433915?origin=resultslist
312,Risk tolerance as mediating factor in individual financial investment decisions: a developing-country study,"Hussain S., Rasheed A.","Journal for Studies in Economics and Econometrics, 47(2)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85160698458?origin=resultslist
313,The Analysis Level of Optimism that Influence Investor’s Risk Tolerance in Asset Allocation | Analisis Tahap Optimisme yang Mempengaruhi Toleransi Risiko Pelabur dalam Peruntukan Saham,"Abidin S.N.Z., Jaaman S.H., Bakar A.S.A.","Sains Malaysiana, 52(10)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85182371114?origin=resultslist
314,"Investigating the Antecedents of Investment Intention and the Mediating Effect of Investment Self-efficacy among Young Adults in Shandong, China","Lim T.S., Qi P.C.","Global Business and Finance Review, 28(2)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85159954621?origin=resultslist
315,Demography of Investors and Behavioral Biases - An Empirical Study,"Bushra, Srivastav S., Pandey A.","Scms Journal of Indian Management, 20(1)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85160519085?origin=resultslist
316,Harnessing Behavioral Traits to Enhance Financial Stock Recommender Systems: Tackling the User Cold Start Problem,"Takayanagi T., Izumi K.",Proceedings 2023 IEEE International Conference on Big Data Bigdata 2023,2023,https://scopus.unalproxy.elogim.com/pages/publications/85184983529?origin=resultslist
317,Financial Literacy and Heuristic Driven Biases: The Role of Risk Perception,"Kathpal S., Akhtar A., Zaheer A.","Review of Behavioral Economics, 10(4)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85183102186?origin=resultslist
318,AN EMPIRICAL INVESTIGATION ON INVESTOR PSYCHOLOGICAL BIASES,Khalaf B.A.,"Corporate and Business Strategy Review, 4(2)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85151494928?origin=resultslist
319,Disposition Effect: Brazilian Investors' Behavior during the Covid-19 Pandemic,"de Albuquerque Barreto P.L., da Silveira Barbedo C.H., Camilo-Da-Silva E.","Brazilian Business Review, 20(1)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85152688906?origin=resultslist
320,Predicting the financial behavior of Indian salaried-class individuals,"Mulasi A., Mathew J., Desai K.","Investment Management and Financial Innovations, 20(1)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85148227348?origin=resultslist
321,Investor Behavior during Periods of Crises: The Chinese Funds Market during the 2020 Pandemic,"Marjerison R.K., Han L., Chen J.","Review of Integrative Business and Economics Research, 12(1)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85148047689?origin=resultslist
322,Is the investor's reliance on cognition and emotional regulation predict preference for selecting value versus growth stocks?,"Ahmad F., Oriani R.","European Journal of Finance, 29(13)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85132155484?origin=resultslist
323,Big Five Personality Traits and Financial Literacy: Effect on Risk Tolerance of Filipino Investors from Higher Education Institutions in Metro Manila,"Mendoza D.M., Padernal A.M.G., Pante E.M.S., Magbata E.V.S., Mandigma M.B.S.","Review of Integrative Business and Economics Research, 12(2)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85153594788?origin=resultslist
324,An Application of the IFM Method for the Risk Assessment of Financial Instruments,"Pons A., Cristobal-Fransi E., Vintro C., ... Querol O., Vilaplana J.","Computational Economics, 61(1)",2023,https://scopus.unalproxy.elogim.com/pages/publications/85116964672?origin=resultslist
325,The Role of Asset Ownership in PSS Theory: An Insight from Expert Interviews,"Stoll O., West S., Pirola F., Sala R.","IFIP Advances in Information and Communication Technology, 692 AICT",2023,https://scopus.unalproxy.elogim.com/pages/publications/85174443335?origin=resultslist
326,The EU Taxonomy's (Potential) Effects on the Banking Sector and Bank Lending to Firms,Kirschenmann K.,"Economists Voice, 19(2)",2022,https://scopus.unalproxy.elogim.com/pages/publications/85147228270?origin=resultslist
327,Measuring the gap between elicited and revealed risk for investors: An empirical study,"Thompson J.R.J., Feng L., Reesor R.M., Grace C., Metzler A.","Financial Planning Review, 5(4), e1151",2022,https://scopus.unalproxy.elogim.com/pages/publications/85168649298?origin=resultslist
328,Unsupervised machine learning to reveal South African risk behaviour archetypes in the domain of discretionary investment decisions,"Nixon P., Gilbert E.","Journal of Behavioral and Experimental Finance, 36, 100757",2022,https://scopus.unalproxy.elogim.com/pages/publications/85139053597?origin=resultslist
329,The Influence of Social and Personal Factors in Individual Investment Decision Making,"Putri Pa A.N., Wiksuana I., Suartana I.W., Sri Artini L.G.","Quality Access to Success, 23(191)",2022,https://scopus.unalproxy.elogim.com/pages/publications/85141716938?origin=resultslist
330,Behavioural Bias: Does it Affect an Investor's Rationality?,"Joshi C.S., Badola S., Chopra G.","Scms Journal of Indian Management, 19(4)",2022,https://scopus.unalproxy.elogim.com/pages/publications/85159870866?origin=resultslist
331,A Multimodal Affective Sensing Model for Constructing a Personality-Based Financial Advisor System,"Lee C.-H., Yang H.-C., Su X.-Q., Tang Y.-X.","Applied Sciences Switzerland, 12(19), 10066",2022,https://scopus.unalproxy.elogim.com/pages/publications/85140010539?origin=resultslist
332,Does the Adaptive Market Hypothesis Reconcile the Behavioral Finance and the Efficient Market Hypothesis?,"Noreen U., Shafique A., Ayub U., Saeed S.K.","Risks, 10(9), 168",2022,https://scopus.unalproxy.elogim.com/pages/publications/85138634520?origin=resultslist
333,Artificial humanity: Smart tooling to implement the human touch in digital investing,Vandenbroucke J.,"Journal of Digital Banking, 7(2)",2022,https://scopus.unalproxy.elogim.com/pages/publications/105043625814?origin=resultslist
334,"Disposition bias among Borsa Istanbul investors: What do we know about type, size and trading frequency?","Kahya E.H., Ekinci C.","Journal of Behavioral and Experimental Finance, 35, 100682",2022,https://scopus.unalproxy.elogim.com/pages/publications/85133373841?origin=resultslist
335,Do Investor Overconfidence and Loss Aversion Drive Saudi Firm Market Performance? The Moderating Effect of Corporate Governance,"Aljughaiman A.A., Chebbi K.E.","Sustainability Switzerland, 14(16), 10072",2022,https://scopus.unalproxy.elogim.com/pages/publications/85137713916?origin=resultslist
336,Investor Segments by Perceived Project Risk and Their Characteristics Based on Primary Research Results,"Garai-Fodor M., Szemere T.P., Csiszarik-Kocsir A.","Risks, 10(8), 159",2022,https://scopus.unalproxy.elogim.com/pages/publications/85136684698?origin=resultslist
337,Are Firms Biasing Stakeholder Expectations by Attributing Prior Poor Performance to COVID-19?,Desai H.,"Iim Kozhikode Society and Management Review, 11(2)",2022,https://scopus.unalproxy.elogim.com/pages/publications/85142265499?origin=resultslist
338,Behavioural biases affecting investors’ decision-making process: a scale development approach,"Jain J., Walia N., Kaur M., Singh S.","Management Research Review, 45(8)",2022,https://scopus.unalproxy.elogim.com/pages/publications/85120401378?origin=resultslist
