wos_id,title,authors,journal,year,volume,pages,doi
WOS:001576586000001,Anticipated psychological spreads: Cryptocurrencies' hidden short-term monitors and implications for price forecasting,"M'bakob, Gilles Brice and Ntamack, Jules Mandeng ma and Mfouapon, Georges Kriyoss",JOURNAL OF INTERNATIONAL FINANCIAL MARKETS INSTITUTIONS \& MONEY,2025,104,,10.1016/j.intfin.2025.102224
WOS:000845228800001,Do Investor Overconfidence and Loss Aversion Drive Saudi Firm Market Performance? The Moderating Effect of Corporate Governance,"Aljughaiman, Abdullah A. and Chebbi, Kaouther E.",SUSTAINABILITY,2022,14,,10.3390/su141610072
WOS:000593118900001,"Sentiment, Loss Firms, and Investor Expectations of Future Earnings{*}","Riedl, Edward J. and Sun, Estelle Y. and Wang, Guannan",CONTEMPORARY ACCOUNTING RESEARCH,2021,38,518-544,10.1111/1911-3846.12618
WOS:001135350100001,How do the determinants of investment decisions get prioritized? Peeking into the minds of investors,"Sood, Kirti and Pathak, Prachi and Gupta, Sanjay",KYBERNETES,2025,54,2175-2203,10.1108/K-04-2023-0662
WOS:001336497600002,A COMPREHENSIVE REVIEW OF BEHAVIORAL BIASES IN FINANCIAL DECISION-MAKING: FROM CLASSICAL FINANCE TO BEHAVIORAL FINANCE PERSPECTIVES,"Kanapickiene, Rasa and Vasiliauskaite, Deimante and Keliuotyte-Staniuleniene, Greta and Spicas, Renatas and Omeir, Ahmad Kaab and Kanapickas, Tomas",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,2024,25,1006-1029,10.3846/jbem.2024.22314
WOS:000812658100001,Is the investor's reliance on cognition and emotional regulation predict preference for selecting value versus growth stocks?,"Ahmad, Fawad and Oriani, Raffaele",EUROPEAN JOURNAL OF FINANCE,2023,29,1555-1578,10.1080/1351847X.2022.2086478
WOS:001282153100001,The influence of emotional intelligence and behavioural biases on mutual fund churning frequency: Evidence from India,"Annapurna, R. and Basri, Savitha",ACTA PSYCHOLOGICA,2024,248,,10.1016/j.actpsy.2024.104426
WOS:000531439400003,Why does stock-market investor sentiment influence corporate investment?,"Du, Ding and Hu, Ou",REVIEW OF QUANTITATIVE FINANCE AND ACCOUNTING,2020,54,1221-1246,10.1007/s11156-019-00823-6
WOS:001321207800001,Using machine learning to predict investors' switching behaviour,"Nixon, Paul and Gilbert, Evan",JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,2024,44,,10.1016/j.jbef.2024.100992
WOS:001343077000005,"NAVIGATING THE STOCK MARKET: MODELING WEALTH EXCHANGE AND NETWORK INTERACTION WITH LOSS AVERSION, DISPOSITION EFFECT AND ANCHORING AND ADJUSTMENT BIAS","Saltik, Omur",EKONOMI POLITIKA \& FINANS ARASTIRMALARI DERGISI,2024,9,88-122,10.30784/epfad.1435009
WOS:001418061800011,Influence of Overconfidence and Loss Aversion on Financial Decision-Making of Teachers in Ghana: The moderating role of Financial Literacy,"Tetteh, Joseph Emmanuel and Adu-Darko, Eunice and Agyirey-Kwakye, Benedicta",AFRICAN REVIEW OF ECONOMICS AND FINANCE-AREF,2024,16,254-279,
WOS:000693641100001,Artificial intelligence in financial services: a qualitative research to discover robo-advisory services,"Bhatia, Ankita and Chandani, Arti and Atiq, Rizwana and Mehta, Mita and Divekar, Rajiv",QUALITATIVE RESEARCH IN FINANCIAL MARKETS,2021,13,632-654,10.1108/QRFM-10-2020-0199
WOS:000944945300001,"Demystifying disposition effect: past, present and future","Joshipura, Mayank and Joshipura, Nehal and Sharma, Aditya",QUALITATIVE RESEARCH IN FINANCIAL MARKETS,2024,16,32-59,10.1108/QRFM-07-2022-0114
WOS:000539694300001,Behavioural Portfolio Selection and Optimisation: Equities versus Cryptocurrencies,"Ababio, Kofi Agyarko",JOURNAL OF AFRICAN BUSINESS,2020,21,145-168,10.1080/15228916.2019.1625018
WOS:001076746000001,Effect of sectoral holdings on the flow-performance sensitivity of mutual funds,"Covachev, Svetoslav and Yadav, Vijay",NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,2024,69,,10.1016/j.najef.2023.102014
WOS:000490560300017,Impact of Psychological Biases and Personality Traits on Investor Trading Behavior,"Anjum, Zafar Uz Zaman and Phulpoto, Nazar H. and Memon, Sohail A. and Pahore, Raza M. and Imran, M. and Bhutto, Zuhaibuddin",INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY,2019,19,115-122,
WOS:000899356600003,Salience theory and mutual fund flows: Empirical evidence from China,"Hu, Shiyang and Xiang, Cheng and Quan, Xiaofeng",EMERGING MARKETS REVIEW,2023,54,,10.1016/j.ememar.2022.100988
WOS:000846286400001,Loss Aversion Robust Optimization Model Under Distribution and Mean Return Ambiguity,"Wang, Jia and Zhou, Mengchu and Guo, Xiwang and Qi, Liang and Wang, Xu",IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,2023,10,3252-3261,10.1109/TCSS.2022.3195816
WOS:000911783000002,"Disposition bias among Borsa Istanbul investors: What do we know about type, size and trading frequency?","Kahya, Evrim Hilal and Ekinci, Cumhur",JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,2022,35,,10.1016/j.jbef.2022.100682
WOS:000571546200001,Are mutual fund investors loss averse? Evidence from China,"Jiang, Jie and Shrider, David G. and Ting, Huangwen and Wu, Yanran",FINANCIAL REVIEW,2021,56,231-250,10.1111/fire.12252
WOS:000778205300045,Cognitive Biases on the Iran Stock Exchange: Unsupervised Learning Approach to Examining Feature Bundles in Investors' Portfolios,"Ossareh, Adele and Pourjafar, Mohammad Saeed and Kopczewski, Tomasz",APPLIED SCIENCES-BASEL,2021,11,,10.3390/app112210916
WOS:000596093700009,Is the disposition effect in bonds as strong as in stocks? Evidence from an emerging market,"Hincapie-Salazar, Juliana and Agudelo, Diego A.",GLOBAL FINANCE JOURNAL,2020,46,,10.1016/j.gfj.2019.100508
WOS:000511328300004,A Fuzzy Rough Feature Selection Framework for Investors Behavior Towards Gold Exchange-Traded Fund,"Acharjya, Biswajit and Natarajan, Subhashree",INTERNATIONAL JOURNAL OF BUSINESS ANALYTICS,2019,6,46-73,10.4018/IJBAN.2019040103
WOS:000490767500003,The monitoring role of institutional investors Geographical proximity and investment horizon,"Wang, Xiaoqiong and Wei, Siqi",STUDIES IN ECONOMICS AND FINANCE,2019,36,517-546,10.1108/SEF-11-2017-0309
WOS:000568328000001,Selection of Retirement Saving Plan for a Private-sector Employee in Pakistan,"Naqvi, Bushra and Rizvi, Syed Kumail Abbas and Shahzad, Arsalan",ASIAN JOURNAL OF MANAGEMENT CASES,2023,20,23-34,10.1177/0972820120939363
WOS:001648867700001,Financial risk tolerance within couples of retail bank clients,"Broihanne, Marie-Helene and Orkut, Hava",INTERNATIONAL REVIEW OF ECONOMICS \& FINANCE,2026,105,,10.1016/j.iref.2025.104828
WOS:001599343100001,"Impact of investors' demographic, behavior, attitudes and knowledge and skills on their risk tolerance levels in Bangladesh's emerging capital market","Ghosh, Sutap Kumar",RAJAGIRI MANAGEMENT JOURNAL,2025,19,266-288,10.1108/RAMJ-12-2024-0328
WOS:001252520000016,The Influence of Emotions and Social Value Orientation on Risk Tolerance and Sustainable Investment Choices,"Verma, Surbhi and Khanna, Ashu",AUSTRALASIAN ACCOUNTING BUSINESS AND FINANCE JOURNAL,2024,18,331-351,
WOS:001290029500001,"Dissecting investment frequency: examining the role of social influence, investors' perception of gender discrimination, involvement, access to information and risk tolerance","Singh, Apoorva and Biswas, Abhijeet",SOCIAL RESPONSIBILITY JOURNAL,2024,20,2212-2236,10.1108/SRJ-11-2023-0671
WOS:000699755700010,Risk Tolerance Profiling Measure: Testing Its Reliability and Validities,"Chung, Wee Kang and Au, Wing Tung",JOURNAL OF FINANCIAL COUNSELING AND PLANNING,2021,32,311-325,10.1891/JFCP-19-00033
WOS:000501126000001,Impact of Personality Traits on Risk Tolerance and Investors' Decision Making,"Sadiq, Misbah and Amna, Hareem",INTERNATIONAL JOURNAL OF APPLIED BEHAVIORAL ECONOMICS,2019,8,1-20,10.4018/IJABE.2019010101
WOS:001627145000003,Non-home biased individuals' investment choices: the role of the birthplace of investors,"Lippi, Andrea and Barbieri, Laura",FINANCE RESEARCH LETTERS,2026,87,,10.1016/j.frl.2025.109026
WOS:001603540900009,Economic and psychological determination in civil servants' investment decisions ahead of retirement: empirical evidence from Indonesia,"Djuachiriaty, Yuni and Jamaliah and Putra, Windhu and Rosyadi and Bustami",ECONOMIC ANNALS-XXI,2024,212,51-55,10.21003/ea.V212-09
WOS:000842369700001,What makes risk-averse investors tick? A practitioners guide,"Van den Bergh-Lindeque, Anzel and Ferreira-Schenk, Sune and Dickason-Koekemoer, Zandri and Habanabakize, Thomas",COGENT ECONOMICS \& FINANCE,2022,10,,10.1080/23322039.2022.2111786
WOS:000569975800001,Risk-Intolerant but Risk-Taking-Towards a Better Understanding of Inconsistent Survey Responses of the Euro Area Households,"Kochaniak, Katarzyna and Ulman, Pawel",SUSTAINABILITY,2020,12,,10.3390/su12176912
WOS:000996169500003,The Relationship between Behavioral Tendencies and Stock Market Participation: A Study for Accounting and Finance Academics,"Cavusoglu, Abdulvahid and Eksi, Ibrahim Halil and Sit, Ahmet",ISTANBUL BUSINESS RESEARCH,2023,52,47-65,10.26650/ibr.2023.52.955732
WOS:001228456800004,Overconfidence and risky investment choices,"Baek, Hyungkee Young and Cho, David D.",ECONOMICS BULLETIN,2022,42,,
WOS:000708399800001,Market discipline in the behavioral finance perspective: a case of Sharia mutual funds in Indonesia,"Widyastuti, Umi and Febrian, Erie and Sutisna, Sutisna and Fitrijanti, Tettet",JOURNAL OF ISLAMIC ACCOUNTING AND BUSINESS RESEARCH,2022,13,114-140,10.1108/JIABR-06-2020-0194
WOS:001397676100001,How (Not) to Measure Companies' Climate Transition Risk: A Framework and Categorized Literature Review,"Fliegel, Philip",CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,2025,32,3049-3077,10.1002/csr.3094
WOS:001478811000001,Iterative under-sampling for delisting risk prediction of Chinese listed companies based on financial information,"Zhu, Yun-Hao and Zhang, Zhong-Liang and Liu, Wan-An",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2025,153,,10.1016/j.engappai.2025.110830
WOS:001502353500001,The effect of investors' emotional and depressive states on perceived returns and risk,"Lonkani, Ravi and Changchit, Chuleeporn and Cutshall, Robert and Treerotchananon, Alicha and Prasertsoontorn, Thanu",JOURNAL OF ASIAN BUSINESS AND ECONOMIC STUDIES,2025,32,134-146,10.1108/JABES-10-2024-0473
WOS:001558920800009,How good are LLMs in risk profiling?,"Hens, Thorsten and Nordlie, Trine",FINANCE RESEARCH LETTERS,2025,85,,10.1016/j.frl.2025.108102
WOS:001651328100001,Managerial climate risk perception bias and corporate investment inefficiency: Evidence from Chinese listed firms,"Zhao, Yifan and Li, Jialong",FINANCE RESEARCH LETTERS,2026,90,,10.1016/j.frl.2025.109399
WOS:001586813700001,"Herding Behavior, Risk Perception, and Investment Performance: A Serial Mediation Analysis","Subedi, Phul Prasad and Sharma, Dilli Raj and Sharma, Bhumiswor",SCIENTIFIC PAPERS OF THE UNIVERSITY OF PARDUBICE-SERIES D-FACULTY OF ECONOMICS AND ADMINISTRATION,2025,33,,10.46585/sp33012242
WOS:001592824500001,Sustainable investing through a gendered lens: the role of locus of control and risk perception,"Verma, Vivek and Singh, Praveen and Tiwari, Rajesh and Pandey, Dinesh Chandra",JOURNAL OF FINANCIAL SERVICES MARKETING,2025,30,,10.1057/s41264-025-00321-y
WOS:001518096900001,Behavioural factors in risk perception and financial decision making,"Yan, Zetao",INTELLIGENT DECISION TECHNOLOGIES-NETHERLANDS,2025,19,3444-3455,10.1177/18724981251346316
WOS:001754770300003,Behavioural biases and investment decisions with mediating role of risk perception and moderating role of financial literacy,"Malik, Laraib and Quddus, Abdul and Watto, Waqas Ahmad and Barakat, Hanan Amin and Fahlevi, Mochammad and Aziz, Aulia Luqman",DISCOVER PSYCHOLOGY,2026,6,,10.1007/s44202-026-00669-9
WOS:001802448500001,Expert-Based Risk Mapping for Low-Carbon Hydrogen Production Under Geopolitical Constraints: A Case Study of Russia,"Revinova, Svetlana and Gomonov, Konstantin and Ratner, Svetlana and Shaposhnikov, Artem",HYDROGEN,2026,7,,10.3390/hydrogen7020071
WOS:001680503200001,How trading shocks shape risk preferences: nonlinear evidence from retail forex traders,"Han, Guiming and Preda, Alex",REVIEW OF BEHAVIORAL FINANCE,2026,18,286-304,10.1108/RBF-06-2025-0229
WOS:001321973900001,Financial risk propensity and investment decisions: An empirical analysis using behavioural biases,"Ul Islam, Khalid and Bhat, Suhail Ahmad and Lone, Umer Mushtaq and Darzi, Mushtaq Ahmad and Malik, Irshad Ahmad",IIMB MANAGEMENT REVIEW,2024,36,213-229,10.1016/j.iimb.2024.06.004
WOS:001487564800002,"Household aging, commercial insurance participation, and risky asset allocation","Li, Bing and Liu, Yaping",INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,2025,104,,10.1016/j.irfa.2025.104291
WOS:001494843300001,Measuring contextuality in investment preferences,"Khrennikova, Polina",ANNALS OF OPERATIONS RESEARCH,2025,,,10.1007/s10479-025-06630-8
WOS:001179722100001,Financial risk profiling of millennials,"Mohta, Anu and Shunmugasundaram, V",GLOBAL KNOWLEDGE MEMORY AND COMMUNICATION,2025,74,3447-3462,10.1108/GKMC-09-2023-0333
WOS:001503473300001,Reinventing renting? ESG investing and the new landlordism of build-to-rent housing financialization,"Parish, Jessica",ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE,2025,57,739-756,10.1177/0308518X251341690
WOS:001580021400001,"The Role of Fear of Missing out (FOMO), Loss Aversion, and Herd Behavior in Gold Investment Decisions: A Study in the Vietnamese Market","Nguyen, Xuan Hung and Bui, Dieu Anh and Le, Nam Anh and Nguyen, Quynh Trang",INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,2025,13,,10.3390/ijfs13030175
WOS:001241611700004,Impact of financial communication practices on investors' risk perception and decision-making,"Ramchandani, Vinita and Chatterjee, Anindita S.",INTERNATIONAL JOURNAL OF INDIAN CULTURE AND BUSINESS MANAGEMENT,2024,32,,10.1504/IJICBM.2024.138994
WOS:001404924800019,IMPACT OF BEHAVIOURAL FINANCE ON RISK AND FINANCIAL DECISIONS OF MOROCCAN INVESTORS,"El Ghmari, Omar and El Ghmari, Imad and Trid, Sabah and M'hamdi, Mohamed",FINANCIAL AND CREDIT ACTIVITY-PROBLEMS OF THEORY AND PRACTICE,2024,5,244-263,10.55643/fcaptp.4.57.2024.4451
WOS:001521609100001,Happiness and stock market participation,"Wenyan, Huang",NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,2025,80,,10.1016/j.najef.2025.102491
WOS:001800323900001,Moderator effect of income on sharia stock investment decisions on the Stockbit,"Juliana, Juliana and Ismail, Shafinar and Patrullah, Ahmad Rifky and Al Adawiyah, Rumaisah Azizah and Muflih, Muhammad and Abduh, Muhamad",JOURNAL OF ISLAMIC ACCOUNTING AND BUSINESS RESEARCH,2026,,,10.1108/JIABR-04-2025-0223
